date,	opponent,	result,	nz_points,	opponent_points
Sat 9th Sep 2017  7:35pm,	Argentina,	win,	39,	22
Sat 26th Aug 2017  7:35pm,	Australia,	win,	35,	29
Sat 19th Aug 2017  8:00pm,	Australia,	win,	54,	34
Sat 8th Jul 2017  7:35pm,	Lions,	loss,	15,	15
Sat 1st Jul 2017  7:35pm,	Lions,	loss,	21,	24
Sat 24th Jun 2017  7:35pm,	Lions,	win,	30,	15
Fri 16th Jun 2017  8:00pm,	Samoa,	win,	78,	0
Sat 26th Nov 2016  9:00pm,	France,	win,	24,	19
Sat 19th Nov 2016  5:30pm,	Ireland,	win,	21,	9
Sat 12th Nov 2016  3:00pm,	Italy,	win,	68,	10
Sat 5th Nov 2016  3:00pm,	Ireland,	loss,	29,	40
Sat 22nd Oct 2016  7:35pm,	Australia,	win,	37,	10
Sat 8th Oct 2016  5:00pm,	South Africa,	win,	57,	15
Sat 1st Oct 2016  7:10pm,	Argentina,	win,	36,	17
Sat 17th Sep 2016  7:35pm,	South Africa,	win,	41,	13
Sat 10th Sep 2016  7:35pm,	Argentina,	win,	57,	22
Sat 27th Aug 2016  7:35pm,	Australia,	win,	29,	9
Sat 20th Aug 2016  8:05pm,	Australia,	win,	42,	8
Sat 25th Jun 2016  7:35pm,	Wales,	win,	46,	6
Sat 18th Jun 2016  7:35pm,	Wales,	win,	36,	22
Sat 11th Jun 2016  7:35pm,	Wales,	win,	39,	21
Sat 31st Oct 2015  9:00pm,	Australia,	win,	34,	17
Sat 24th Oct 2015  4:00pm,	South Africa,	win,	20,	18
Sat 17th Oct 2015  8:00pm,	France,	win,	62,	13
Fri 9th Oct 2015  8:00pm,	Tonga,	win,	47,	9
Fri 2nd Oct 2015  8:00pm,	Georgia,	win,	43,	10
Thu 24th Sep 2015  8:00pm,	Namibia,	win,	58,	14
Sun 20th Sep 2015  4:45pm,	Argentina,	win,	26,	16
Sat 15th Aug 2015  7:35pm,	Australia,	win,	41,	13
Sat 8th Aug 2015  8:05pm,	Australia,	loss,	19,	27
Sat 25th Jul 2015  5:05pm,	South Africa,	win,	27,	20
Fri 17th Jul 2015  7:35pm,	Argentina,	win,	39,	18
Wed 8th Jul 2015  3:00pm,	Samoa,	win,	25,	16
Sat 22nd Nov 2014  5:30pm,	Wales,	win,	34,	16
Sat 15th Nov 2014  5:30pm,	Scotland,	win,	24,	16
Sat 8th Nov 2014  3:35pm,	England,	win,	24,	21
Sat 1st Nov 2014  3:00pm,	United States,	win,	74,	6
Sat 18th Oct 2014  8:05pm,	Australia,	win,	29,	28
Sat 4th Oct 2014  5:05pm,	South Africa,	loss,	25,	27
Sat 27th Sep 2014  7:10pm,	Argentina,	win,	34,	13
Sat 13th Sep 2014  7:35pm,	South Africa,	win,	14,	10
Sat 6th Sep 2014  7:35pm,	Argentina,	win,	28,	9
Sat 23rd Aug 2014  7:35pm,	Australia,	win,	51,	20
Sat 16th Aug 2014  8:05pm,	Australia,	loss,	12,	12
Sat 21st Jun 2014  7:35pm,	England,	win,	36,	13
Sat 14th Jun 2014  7:35pm,	England,	win,	28,	27
Sat 7th Jun 2014  7:35pm,	England,	win,	20,	15
Sun 24th Nov 2013  2:00pm,	Ireland,	win,	24,	22
Sat 16th Nov 2013  2:30pm,	England,	win,	30,	22
Sat 9th Nov 2013  9:00pm,	France,	win,	26,	19
Sat 2nd Nov 2013  2:00pm,	Japan,	win,	54,	6
Sat 19th Oct 2013  7:35pm,	Australia,	win,	41,	33
